iteration,epoch,accuracy,loss
1.000000,0.002500,0.000000,6.926186
2.000000,0.005000,0.000000,6.335678
3.000000,0.007500,0.050000,5.723777
4.000000,0.010000,0.700000,5.002249
5.000000,0.012500,0.950000,4.162145
6.000000,0.015000,1.000000,3.373624
7.000000,0.017500,1.000000,2.645955
8.000000,0.020000,1.000000,1.783636
9.000000,0.022500,1.000000,1.182153
10.000000,0.025000,1.000000,0.701624
11.000000,0.027500,1.000000,0.526900
12.000000,0.030000,1.000000,0.291644
13.000000,0.032500,1.000000,0.152582
14.000000,0.035000,1.000000,0.101323
15.000000,0.037500,1.000000,0.056450
16.000000,0.040000,1.000000,0.024794
17.000000,0.042500,1.000000,0.022585
18.000000,0.045000,1.000000,0.016357
19.000000,0.047500,1.000000,0.009292
20.000000,0.050000,1.000000,0.016814
21.000000,0.052500,1.000000,0.006601
22.000000,0.055000,1.000000,0.004624
23.000000,0.057500,1.000000,0.008360
24.000000,0.060000,1.000000,0.005388
25.000000,0.062500,1.000000,0.002286
26.000000,0.065000,1.000000,0.001359
27.000000,0.067500,1.000000,0.001971
28.000000,0.070000,1.000000,0.002027
29.000000,0.072500,1.000000,0.001723
30.000000,0.075000,1.000000,0.000974
31.000000,0.077500,1.000000,0.000813
32.000000,0.080000,1.000000,0.000991
33.000000,0.082500,1.000000,0.001845
34.000000,0.085000,1.000000,0.001185
35.000000,0.087500,1.000000,0.001079
36.000000,0.090000,1.000000,0.000697
37.000000,0.092500,1.000000,0.000624
38.000000,0.095000,1.000000,0.000401
39.000000,0.097500,1.000000,0.000435
40.000000,0.100000,1.000000,0.000501
41.000000,0.102500,1.000000,0.000716
42.000000,0.105000,1.000000,0.000425
43.000000,0.107500,1.000000,0.000974
44.000000,0.110000,1.000000,0.000333
45.000000,0.112500,1.000000,0.000342
46.000000,0.115000,1.000000,0.000323
47.000000,0.117500,1.000000,0.000878
48.000000,0.120000,1.000000,0.000439
49.000000,0.122500,1.000000,0.000268
50.000000,0.125000,1.000000,0.000381
51.000000,0.127500,1.000000,0.000532
52.000000,0.130000,1.000000,0.000363
53.000000,0.132500,1.000000,0.000305
54.000000,0.135000,1.000000,0.000327
55.000000,0.137500,1.000000,0.000283
56.000000,0.140000,1.000000,0.000384
57.000000,0.142500,1.000000,0.000282
58.000000,0.145000,1.000000,0.000466
59.000000,0.147500,1.000000,0.000229
60.000000,0.150000,1.000000,0.001411
61.000000,0.152500,1.000000,0.000447
62.000000,0.155000,1.000000,0.000419
63.000000,0.157500,1.000000,0.000235
64.000000,0.160000,1.000000,0.000472
65.000000,0.162500,1.000000,0.000270
66.000000,0.165000,1.000000,0.000272
67.000000,0.167500,1.000000,0.000242
68.000000,0.170000,1.000000,0.000390
69.000000,0.172500,1.000000,0.000342
70.000000,0.175000,1.000000,0.000223
71.000000,0.177500,1.000000,0.000287
72.000000,0.180000,1.000000,0.000288
73.000000,0.182500,1.000000,0.000209
74.000000,0.185000,1.000000,0.000201
75.000000,0.187500,1.000000,0.000196
76.000000,0.190000,1.000000,0.000456
77.000000,0.192500,1.000000,0.000198
78.000000,0.195000,1.000000,0.000235
79.000000,0.197500,1.000000,0.002305
80.000000,0.200000,1.000000,0.000232
81.000000,0.202500,1.000000,0.000669
82.000000,0.205000,1.000000,0.000192
83.000000,0.207500,1.000000,0.000943
84.000000,0.210000,1.000000,0.000248
85.000000,0.212500,1.000000,0.001115
86.000000,0.215000,1.000000,0.000213
87.000000,0.217500,1.000000,0.000203
88.000000,0.220000,1.000000,0.000196
89.000000,0.222500,1.000000,0.000249
90.000000,0.225000,1.000000,0.000266
91.000000,0.227500,1.000000,0.000314
92.000000,0.230000,1.000000,0.000287
93.000000,0.232500,1.000000,0.000234
94.000000,0.235000,1.000000,0.000204
95.000000,0.237500,1.000000,0.000245
96.000000,0.240000,1.000000,0.000266
97.000000,0.242500,1.000000,0.000223
98.000000,0.245000,1.000000,0.000217
99.000000,0.247500,1.000000,0.000229
100.000000,0.250000,1.000000,0.000202
