iteration,epoch,accuracy,loss
1.000000,0.000028,0.000000,6.827444
2.000000,0.000056,0.000000,6.625360
3.000000,0.000083,0.150000,6.295820
4.000000,0.000111,0.300000,5.762461
5.000000,0.000139,0.350000,5.076158
6.000000,0.000167,0.450000,4.424257
7.000000,0.000194,0.400000,3.855303
8.000000,0.000222,0.400000,2.982924
9.000000,0.000250,0.500000,2.658257
10.000000,0.000278,0.350000,3.311343
11.000000,0.000306,0.400000,2.250111
12.000000,0.000333,0.350000,2.211524
13.000000,0.000361,0.350000,1.907914
14.000000,0.000389,0.200000,2.202031
15.000000,0.000417,0.450000,1.278143
16.000000,0.000444,0.500000,1.075316
17.000000,0.000472,0.350000,1.432094
18.000000,0.000500,0.500000,1.225003
19.000000,0.000528,0.400000,1.381128
20.000000,0.000556,0.350000,1.166592
21.000000,0.000583,0.600000,1.276053
22.000000,0.000611,0.300000,1.546299
23.000000,0.000639,0.550000,0.998362
24.000000,0.000667,0.450000,0.996344
25.000000,0.000694,0.700000,0.728492
26.000000,0.000722,0.550000,0.899474
27.000000,0.000750,0.550000,1.085018
28.000000,0.000778,0.550000,0.854742
29.000000,0.000806,0.700000,0.742515
30.000000,0.000833,0.500000,1.087425
31.000000,0.000861,0.600000,0.982323
32.000000,0.000889,0.550000,1.129523
33.000000,0.000917,0.750000,0.724036
34.000000,0.000944,0.550000,0.923791
35.000000,0.000972,0.300000,1.221619
36.000000,0.001000,0.500000,0.779684
37.000000,0.001028,0.500000,0.917092
38.000000,0.001056,0.500000,0.788387
39.000000,0.001083,0.550000,0.842883
